customer_id,first_name,last_name,email,phone_number,address,city,state,country,zip_code,signup_date,last_login,total_bookings,total_spent,preferred_language,referral_code,account_status
1,Larry,Peterson,rstokes@collins-parker.com,001-399-427-0570x2976,"9922 Erin Harbor, Justinchester, NY 66831",Mariefurt,Hawaii,Djibouti,89182,2024-04-30,2024-08-09 22:11:34,4,506.97,Spanish,dMbp-28297,Suspended
2,Tyler,Arnold,derekchandler@carter.com,142-078-4315,"5405 Jorge Loop Apt. 939, Lake Stanleybury, MS 78010",Port Christian,North Carolina,Gabon,61511,2024-03-14,2024-08-15 02:02:11,12,4752.24,French,cfMi-48727,Active
3,Brandon,Mcfarland,icampbell@hotmail.com,+1-668-232-1170x027,"PSC 2785, Box 6050, APO AP 31064",Kathyport,Mississippi,Marshall Islands,07883,2024-02-27,2024-08-28 16:52:01,14,3287.29,French,pBRK-79372,Suspended
4,Jose,Delgado,amberjames@yahoo.com,001-391-546-0054x651,"2845 Lin Rue Suite 069, West Jeffreystad, NJ 14256",Phyllisbury,California,San Marino,53042,2024-05-17,2024-08-24 02:02:40,12,329.61,French,lieW-71867,Suspended
5,Charles,Payne,kathyanderson@harrell.com,(156)715-3788,"017 Jenkins Loop Apt. 441, South Emily, OK 78640",Emilyland,Georgia,Cambodia,95382,2024-03-26,2024-08-10 05:54:15,9,4061.82,English,ZOTb-36233,Suspended
6,Monica,Grant,aporter@carlson.com,718-065-4720x242,"112 William Fields Suite 499, Lake Brendafurt, MS 49612",Nicholsbury,Nebraska,Nicaragua,29613,2024-03-30,2024-08-17 01:47:34,3,4703.81,Spanish,xQEt-01214,Inactive
7,Melissa,Figueroa,andrew49@gmail.com,048-299-1049x98389,"599 Morris Mountains Apt. 152, East Raymond, NY 39990",North Lisachester,Arizona,Guinea-Bissau,82603,2024-08-26,2024-08-26 03:29:51,10,2987.95,French,oZdD-06289,Inactive
8,Dustin,Howard,medinatiffany@edwards.net,800.936.4879,"1972 Mays Mills Suite 911, Adamsland, NH 72641",Cindyville,California,Papua New Guinea,88817,2024-03-04,2024-08-09 11:52:27,8,2681.92,German,Hjob-43641,Inactive
9,Michelle,Walsh,brownbrianna@yahoo.com,0050284969,"206 Jones Lock Suite 459, Marcusland, OH 02931",East Mallorybury,Wyoming,Christmas Island,49810,2024-02-07,2024-08-06 01:51:37,5,1608.07,Spanish,PkHO-50516,Suspended
10,Jacqueline,Edwards,hinessamantha@hotmail.com,571-225-2640,"5065 Keith Walk, West Susan, AZ 78950",East William,Louisiana,Albania,53741,2024-01-09,2024-08-11 09:54:09,13,2742.66,Spanish,wfHK-70733,Active
11,Walter,Weiss,yjimenez@hotmail.com,(635)958-5121,"7213 Julie Drives Suite 786, Kyleport, AL 44846",Lake Debrachester,Washington,Bangladesh,24347,2024-04-17,2024-08-22 05:45:02,12,4852.03,Chinese,zeAW-11424,Inactive
12,Benjamin,Mitchell,richardmartin@yahoo.com,(295)671-5155,"862 Mary Mountain, Lake Brianaberg, WY 37650",Fuentesside,South Carolina,Cote d'Ivoire,85898,2024-04-24,2024-08-07 07:59:06,9,258.58,English,JJcl-15094,Active
13,Jack,Foster,llopez@hotmail.com,292.195.3127x79391,"070 Mary Junctions Apt. 624, Bradleyshire, MI 89896",Craigfurt,Texas,Jordan,49972,2024-07-15,2024-08-28 18:07:18,1,609.81,French,VDtw-97064,Active
14,Robin,Johnson,carlos68@duffy.com,394-331-2459,"75915 Zavala Flats Apt. 957, Port James, MN 49873",East Rachelborough,Connecticut,India,22081,2024-07-23,2024-08-08 22:45:03,7,1186.24,German,gIiW-26664,Suspended
15,Diana,Robinson,russell22@hotmail.com,001-325-719-3665,"20010 Richardson Flats Suite 678, South Justin, NJ 37071",Morenomouth,Illinois,Mexico,80018,2024-02-01,2024-08-13 18:22:24,10,2836.24,English,kvZT-03107,Active
16,Stephanie,Mccoy,orozcomarilyn@hotmail.com,+1-912-404-0382x7969,"2577 Reynolds Street, North Jeremy, SC 77975",East Tonyabury,Rhode Island,Angola,72143,2024-08-28,2024-08-19 15:00:06,8,477.6,English,oLOD-95188,Active
17,David,Griffin,jonesdanielle@hotmail.com,(587)467-7779x6403,"63491 Reyes Path Apt. 875, Jeffreymouth, HI 81730",Pughshire,Virginia,Morocco,53618,2024-08-09,2024-08-15 15:17:23,10,4971.02,Spanish,wYCp-04035,Inactive
18,Felicia,Santana,spencermichael@landry.com,+1-498-752-1231x2060,"6426 Jennings Avenue, Richardside, ID 22805",Port William,Tennessee,Somalia,76932,2024-02-02,2024-08-06 21:05:51,6,654.43,French,tMcd-39416,Active
19,Kristen,Carpenter,michaelhernandez@gmail.com,(422)022-6352,"8074 Alison Greens Apt. 467, New Courtney, KY 30959",Lake Jessicatown,Minnesota,Morocco,46176,2024-01-13,2024-08-06 17:57:19,7,2460.4,Chinese,Vogt-05481,Inactive
20,John,Dixon,fhayes@yahoo.com,205-229-4506,"02304 Mitchell Throughway Apt. 898, North Mitchell, WI 08060",Pamelachester,Alabama,Armenia,33698,2024-02-06,2024-08-10 05:16:10,10,653.86,English,ZrHp-26677,Active
21,Cassidy,Pierce,fweber@delgado-gibson.com,314-359-6562x15040,"273 Stevens Common Suite 605, Gallagherview, MN 66209",East Patricia,Kentucky,Myanmar,66072,2024-05-14,2024-08-23 08:49:03,7,2855.23,Spanish,ciaQ-56815,Active
22,Caleb,Jackson,andrewmcdonald@brown-martin.com,122.499.4908,"PSC 2260, Box 1664, APO AA 30062",North Jimmy,Massachusetts,Congo,02445,2024-07-06,2024-08-27 21:15:38,3,2365.24,English,vPws-49017,Suspended
23,Linda,Kim,stanleylinda@gmail.com,119-915-1883,"98780 Michael Point, East Tiffany, VT 46854",North William,Florida,Antigua and Barbuda,41187,2024-04-20,2024-08-19 11:14:21,15,1241.02,French,tpAw-39343,Active
